venue_id,name,city,matched_name,address,lat,lng,confidence,needs_review
milos_001,Skinopi Lodge,Milos,Skinopi Lodge,"Skinopi, skinopi 848 00, Greece",36.7280461,24.4263038,high,false
milos_002,Sarakiniko Beach,Milos,Sarakiniko,"Milos 848 00, Greece",36.74269719999999,24.458423,high,false
milos_003,Tsigrado Beach,Milos,Tsigrado Beach,"Milos 848 00, Greece",36.6618958,24.4693335,high,false
milos_004,Firiplaka Beach,Milos,Paralia Firiplaka,"Paralia Firiplaka, Greece",36.6662272,24.4651858,high,false
milos_005,Plaka,Milos,Plaka,"Plaka 848 00, Greece",36.7437537,24.4251077,medium,true
milos_006,Mandrakia,Milos,Mandrakia,"Mandrakia 848 00, Greece",36.7511313,24.4465407,medium,true
milos_007,Utopia Cafe,Milos,Utopia Caffe,"ΠΛΑΚΑ ΜΗΛΟΥ, Plaka 848 00, Greece",36.7441231,24.4214612,high,false
milos_008,Phatses,Milos,Phatses,"Plaka 848 00, Greece",36.7435158,24.4237852,high,false
milos_009,Medusa,Milos,Medusa Milos,"Mandrakia 848 00, Greece",36.7511313,24.4465407,high,false
milos_010,O! Hamos! Tavern,Milos,O! Hamos! Tavern,"ΑΔΑΜΑΝΤΑΣ, Plaka 846 00, Greece",36.7222163,24.4584931,high,false
milos_011,Artemie Bakery,Milos,Artemis Bakery,"Adamantas 848 01, Greece",36.7264858,24.4477989,high,false
amsterdam_001,De Kas,Amsterdam,De Kas,"Kamerlingh Onneslaan 3, 1097 DE Amsterdam, Netherlands",52.35215609999999,4.9305109,high,false
amsterdam_002,Bar Parry,Amsterdam,Bar Parry,"Eerste Looiersdwarsstraat 15, 1016 VL Amsterdam, Netherlands",52.3689895,4.881183399999999,high,false
amsterdam_003,Gertrude,Amsterdam,Gertrude Rest. & Bar,"Bosboom Toussaintstraat 28-H, 1054 AS Amsterdam, Netherlands",52.3656952,4.8761247,high,false
amsterdam_004,Toki,Amsterdam,Toki,"Binnen Dommersstraat 15, 1013 HK Amsterdam, Netherlands",52.3829109,4.885517500000001,high,false
amsterdam_005,Saint Jean,Amsterdam,SAINT-JEAN Bakery,"Lindengracht 158h, 1015 KK Amsterdam, Netherlands",52.3803056,4.884282400000001,high,false
amsterdam_006,Yusu,Amsterdam,YUSU,"Andreas Bonnstraat 2, 1091 AX Amsterdam, Netherlands",52.3598821,4.9110865,high,false
amsterdam_007,Oslo,Amsterdam,OSLO,"Prinsenstraat 16h, 1015 DC Amsterdam, Netherlands",52.3778611,4.887063599999999,high,false
amsterdam_008,Lera,Amsterdam,"LERA — Matcha, Coffee, Goods","Ferdinand Bolstraat 146, 1072 GJ Amsterdam, Netherlands",52.3524323,4.8910493,high,false
amsterdam_009,Oficina,Amsterdam,Oficina,"Jan van Galenstraat 147, 1056 BN Amsterdam, Netherlands",52.37436160000001,4.857065299999999,high,false
amsterdam_010,Bakkerij Wolf,Amsterdam,Bakkerij Wolf - Wolvenstraat,"Wolvenstraat 22, 1016 EP Amsterdam, Netherlands",52.37037660000001,4.8855546,high,false
amsterdam_011,Louf,Amsterdam,louf - de pijp,"Nicolaas Berchemstraat 4, 1073 VR Amsterdam, Netherlands",52.357162,4.8985333,high,false
amsterdam_012,Ulmus Bakkerij,Amsterdam,Ulmus Bakery,"Cabralstraat 7, 1057 CD Amsterdam, Netherlands",52.36951819999999,4.854422599999999,high,false
amsterdam_013,Levain et le Vin,Amsterdam,levain et le vin,"Jan Pieter Heijestraat 168, 1054 ML Amsterdam, Netherlands",52.361162,4.8647693,high,false
amsterdam_014,Restaurant de Kas,Amsterdam,De Kas,"Kamerlingh Onneslaan 3, 1097 DE Amsterdam, Netherlands",52.35215609999999,4.9305109,high,false
amsterdam_015,Kikkie,Amsterdam,Kikkie van de Prinsensluis,"Prinsenstraat 30-H, 1015 DD Amsterdam, Netherlands",52.3780662,4.886600899999999,high,false
amsterdam_016,Skatecafe,Amsterdam,Skatecafe,"Gedempt Hamerkanaal 42, 1021 KM Amsterdam, Netherlands",52.3854027,4.925593399999999,high,false
amsterdam_017,Trees,Amsterdam,Trees Rest. & Bar,"Zeedijk 14A, 1012 AX Amsterdam, Netherlands",52.3758552,4.900503,high,false
amsterdam_018,Cornerstore,Amsterdam,cornerstore,"Papaverweg 11, 1032 KD Amsterdam, Netherlands",52.39429639999999,4.9116376,high,false
amsterdam_019,Vuutoreneiland,Amsterdam,Vuurtoreneiland,"Vuurtoreneiland, Amsterdam, Netherlands",52.3725359,5.0138216,high,false
amsterdam_020,Klaproos,Amsterdam,Klaproos Amsterdam,"Papaverhoek 39, 1032 JZ Amsterdam, Netherlands",52.3936514,4.911982699999999,high,false
amsterdam_021,Euro Pizza,Amsterdam,Euro Pizza Restaurant,"Gedempt Hamerkanaal 79, 1021 KP Amsterdam, Netherlands",52.3839406,4.9219912,high,false
amsterdam_022,Bak Restaurant,Amsterdam,BAK | Fine dining Restaurant Amsterdam,"Van Diemenstraat 408, 1013 CR Amsterdam, Netherlands",52.3901086,4.8875991,high,false
amsterdam_023,Cafe Binnenvisser,Amsterdam,Café Binnenvisser,"Bilderdijkstraat 36, 1052 NB Amsterdam, Netherlands",52.3715254,4.8704009,high,false
amsterdam_024,Toscanini,Amsterdam,Toscanini,"Lindengracht 75, 1015 KD Amsterdam, Netherlands",52.3801403,4.8853789,high,false
